car_make,car_model,distance
Dodge,Ram Van 3500,1466
Acura,CL,1233
Aston Martin,Virage,1667
Volkswagen,Eos,702
Saturn,VUE,2586
Chevrolet,Blazer,2103
Porsche,911,1904
Ford,Mustang,776
Subaru,Outback,525
Acura,CL,2171
GMC,Sierra 2500,564
Volkswagen,Passat,725
Toyota,RAV4,2326
Volvo,V50,2073
Mazda,Miata MX-5,2759
Mitsubishi,Starion,2081
Nissan,300ZX,1308
Ford,F350,975
Chevrolet,Cobalt,2817
Jeep,Commander,2954
Mitsubishi,Galant,2346
Dodge,D150,2745
Volkswagen,Golf,2893
Mitsubishi,Lancer Evolution,2660
Volvo,S40,1299
Nissan,Sentra,2201
Volvo,V50,2368
Dodge,Ram 1500,893
Mitsubishi,Pajero,1306
GMC,2500 Club Coupe,2552
Ford,Excursion,2383
Hyundai,Genesis,2416
Toyota,Avalon,2317
Acura,NSX,1507
Lexus,IS,1417
GMC,Yukon XL 2500,2753
GMC,3500 Club Coupe,1018
Honda,CR-V,1474
Hyundai,Santa Fe,704
Mitsubishi,Diamante,2432
Lamborghini,Gallardo,991
Volkswagen,Cabriolet,891
Suzuki,Sidekick,1356
Pontiac,Firefly,2129
BMW,3 Series,2343
Lincoln,Town Car,1520
Suzuki,SJ,852
Subaru,SVX,852
Chrysler,Town & Country,934
Cadillac,Sixty Special,1845
Porsche,944,1502
Infiniti,IPL G,1342
Audi,Q5,2998
Maserati,Gran Sport,1169
Chevrolet,Equinox,845
Ford,Expedition,1154
Volkswagen,Eurovan,889
Mitsubishi,Challenger,2869
Pontiac,Bonneville,1895
Jaguar,XJ Series,2777
Chevrolet,Classic,865
Volvo,V50,2711
Chevrolet,S10,1582
Chevrolet,Express 2500,2124
Saab,9-5,2929
Lotus,Elise,2890
Audi,TT,814
Ford,Focus,1307
Chevrolet,Cruze,1537
BMW,7 Series,2705
Mercury,Tracer,2921
Isuzu,VehiCROSS,983
Kia,Sportage,1923
Pontiac,Firebird,2076
Saab,9-3,618
Infiniti,M,1283
Infiniti,EX,803
Buick,Park Avenue,2796
Toyota,Tacoma Xtra,1819
Pontiac,Grand Prix,2807
BMW,3 Series,1525
Ford,Tempo,814
Chevrolet,Silverado 1500,2580
Dodge,Durango,2957
Nissan,Murano,1405
Geo,Prizm,2387
Hyundai,Azera,2038
Mazda,Familia,2589
Subaru,Forester,620
GMC,Yukon,586
Ford,F350,1164
Mitsubishi,Eclipse,647
Audi,5000CS,2158
Mazda,MX-5,980
Pontiac,Montana,1716
Mercedes-Benz,E-Class,1958
GMC,Yukon XL 1500,568
Chevrolet,Suburban 1500,2315
Nissan,Quest,2385
Isuzu,Ascender,2650
Lincoln,Blackwood,1889
Mitsubishi,Montero,2348
Chevrolet,Colorado,2817
Mazda,B-Series Plus,1946
GMC,Rally Wagon G2500,2671
Acura,Integra,1324
Chevrolet,Camaro,929
Alfa Romeo,Spider,2127
Maybach,62,2836
Porsche,Boxster,2193
Mazda,Tribute,2568
Mercedes-Benz,500SEL,1065
GMC,2500,2620
Volkswagen,Touareg,717
Honda,Pilot,1842
Dodge,Ram 2500,735
Mercedes-Benz,M-Class,1146
Nissan,350Z,813
Chevrolet,Monte Carlo,1724
Mazda,Mazda6,1557
Cadillac,CTS,850
Chevrolet,Malibu,2175
Buick,LaCrosse,2049
Isuzu,VehiCROSS,2018
Lexus,RX,2197
Isuzu,Rodeo,567
Infiniti,G,646
Volvo,S60,2812
Lincoln,Continental,1928
Dodge,Ram 2500,2295
Pontiac,Bonneville,2979
Cadillac,Escalade,697
Infiniti,M,2342
Ford,F350,2683
Chevrolet,Suburban 2500,1301
Lexus,IS,788
Dodge,Ram 1500,1863
Aston Martin,V8 Vantage,963
Ford,F-Series,672
Volkswagen,Passat,702
Saab,9-5,1804
Suzuki,Vitara,576
Saturn,Sky,572
Mazda,B-Series,2421
Audi,A4,1333
Volkswagen,New Beetle,2174
Ford,E150,1102
BMW,8 Series,1971
Mercedes-Benz,400E,1565
Aston Martin,V8 Vantage S,1889
Mitsubishi,Mirage,581
Chevrolet,Express 3500,1358
Lamborghini,Diablo,1423
Volkswagen,Eos,691
Chevrolet,Express 2500,745
Pontiac,Grand Am,2437
Mazda,Mazdaspeed 3,1240
Buick,Skylark,2986
Chrysler,PT Cruiser,2255
Nissan,Maxima,899
Audi,A5,2574
Bentley,Arnage,967
GMC,Sierra 1500,1175
Volkswagen,Golf,2367
BMW,Z4,1813
Honda,Accord,2420
Pontiac,Firebird,2735
Saturn,VUE,2794
Buick,Century,1120
Mitsubishi,Eclipse,2852
Nissan,Maxima,2479
Dodge,Intrepid,911
Mitsubishi,Challenger,2546
Dodge,Ram 2500,2542
Pontiac,Grand Prix Turbo,1200
Mazda,Mazda6,1832
Chevrolet,Avalanche 1500,916
Mitsubishi,Diamante,2035
Rolls-Royce,Phantom,2915
Dodge,Challenger,1597
Ford,Econoline E250,2365
